Time(sec),Force(g),Displacement(mm),Angle(deg),Target_Force(g)
12.033,0.000,0.000,97.11,49.79
12.033,0.000,0.000,97.11,49.79
12.033,0.000,0.000,97.10,49.82
12.033,0.000,0.000,97.10,49.82
12.033,0.000,0.000,97.10,49.82
12.033,0.000,0.000,97.10,49.82
12.043,0.000,0.000,97.08,49.88
12.043,0.000,0.000,97.08,49.88
12.043,0.000,0.000,97.07,49.90
12.043,0.000,0.000,97.07,49.90
12.066,0.000,0.000,97.05,49.94
12.066,0.000,0.000,97.05,49.94
12.078,0.000,0.000,97.05,49.91
12.079,0.000,0.000,97.05,49.91
12.087,0.000,0.000,97.05,49.91
12.087,0.000,0.000,97.05,49.91
12.120,0.000,0.000,97.04,49.90
12.120,0.000,0.000,97.04,49.90
12.121,0.000,0.000,97.04,49.85
12.121,0.000,0.000,97.04,49.85
12.135,0.000,0.000,97.02,49.87
12.135,0.000,0.000,97.02,49.87
12.150,0.000,0.000,97.01,49.91
12.150,0.000,0.000,97.01,49.91
12.167,0.000,0.000,97.00,49.95
12.167,0.000,0.000,97.00,49.95
12.183,0.000,0.000,96.99,49.93
12.183,0.000,0.000,96.99,49.93
12.198,0.000,0.000,96.98,49.94
12.198,0.000,0.000,96.98,49.94
12.220,0.000,0.000,96.98,49.88
12.220,0.000,0.000,96.98,49.88
12.231,0.000,0.000,96.98,49.86
12.231,0.000,0.000,96.98,49.86
12.247,0.000,0.000,96.99,49.79
12.247,0.000,0.000,96.99,49.79
12.271,0.000,0.000,96.98,49.79
12.271,0.000,0.000,96.98,49.79
12.279,0.000,0.000,96.98,49.75
12.279,0.000,0.000,96.98,49.75
12.295,0.000,0.000,96.97,49.78
12.295,0.000,0.000,96.97,49.78
12.317,0.000,0.000,96.97,49.77
12.317,0.000,0.000,96.97,49.77
12.327,0.000,0.000,96.96,49.84
12.327,0.000,0.000,96.96,49.84
12.343,0.000,0.000,96.97,49.79
12.343,0.000,0.000,96.97,49.79
12.367,0.000,0.000,96.97,49.81
12.367,0.000,0.000,96.97,49.81
12.375,0.000,0.000,96.96,49.81
12.375,0.000,0.000,96.96,49.81
12.391,0.000,0.000,96.97,49.76
12.391,0.000,0.000,96.97,49.76
12.418,0.000,0.000,96.98,49.68
12.418,0.000,0.000,96.98,49.68
12.423,0.000,0.000,96.98,49.70
12.423,0.000,0.000,96.98,49.70
12.438,0.000,0.000,96.99,49.68
12.438,0.000,0.000,96.99,49.68
12.472,0.000,0.000,96.99,49.64
12.472,0.000,0.000,96.99,49.64
12.474,0.000,0.000,96.99,49.69
12.474,0.000,0.000,96.99,49.69
12.487,0.000,0.000,97.00,49.69
12.487,0.000,0.000,97.00,49.69
12.522,0.000,0.000,97.00,49.69
12.522,0.000,0.000,97.00,49.69
12.522,0.000,0.000,96.99,49.73
12.522,0.000,0.000,96.99,49.73
12.534,0.000,0.000,96.99,49.73
12.534,0.000,0.000,96.99,49.73
12.557,0.000,0.000,96.99,49.73
12.557,0.000,0.000,96.99,49.73
12.569,0.000,0.000,97.00,49.74
12.569,0.000,0.000,97.00,49.74
12.582,0.000,0.000,97.01,49.70
12.582,0.000,0.000,97.01,49.70
12.598,0.000,0.000,97.03,49.62
12.598,0.000,0.000,97.03,49.62
12.619,0.000,0.000,97.03,49.62
12.619,0.000,0.000,97.03,49.62
12.630,0.000,0.000,97.03,49.62
12.630,0.000,0.000,97.03,49.62
12.647,0.000,0.000,97.03,49.66
12.647,0.000,0.000,97.03,49.66
