Time(sec),Force(g),Displacement(mm),Waist_Angle(deg),L_Thigh_Angle(deg),R_Thigh_Angle(deg),Target_Force(g)
0.014,0.000,0.000,-0.61,0.09,-0.05,0.00
0.034,0.000,0.000,-0.61,0.09,-0.03,0.00
0.073,0.000,0.000,-0.60,0.10,-0.05,0.00
0.151,0.000,0.000,-0.60,0.12,-0.05,0.00
0.200,0.000,0.000,-0.60,0.12,-0.05,0.00
0.237,0.000,0.000,-0.62,0.12,-0.03,0.00
0.269,0.000,0.000,-0.62,0.14,-0.05,0.00
0.302,0.000,0.000,-0.61,0.14,-0.03,0.00
0.336,0.000,0.000,-0.61,0.15,-0.02,0.00
0.396,0.000,0.000,-0.64,0.14,-0.05,0.00
0.421,0.000,0.000,-0.70,0.12,-0.07,0.00
0.459,0.000,0.000,-0.83,0.13,-0.06,0.00
0.486,0.000,0.000,-0.90,0.13,-0.03,0.00
0.549,0.000,0.000,-1.00,0.13,0.07,0.00
0.583,0.000,0.000,-1.12,0.12,0.22,0.00
0.642,0.000,0.000,-1.26,0.15,0.29,0.00
0.679,0.000,0.000,-1.35,0.20,0.23,0.00
0.730,0.000,0.000,-1.52,0.32,0.09,0.00
0.740,0.000,0.000,-1.54,0.36,0.05,0.00
0.794,0.000,0.000,-1.61,0.50,-0.09,0.00
0.820,0.000,0.000,-1.64,0.72,-0.31,0.00
0.855,0.000,0.000,-1.63,0.92,-0.49,0.00
0.899,0.000,0.000,-1.54,1.15,-0.83,0.00
0.924,0.000,0.000,-1.51,1.23,-0.97,0.00
0.981,0.000,0.000,-1.46,1.40,-1.37,0.00
0.999,0.000,0.000,-1.45,1.54,-1.68,0.00
1.033,0.000,0.000,-1.53,1.77,-2.40,0.00
1.089,0.000,0.000,-1.66,1.90,-2.72,0.00
1.108,0.000,0.000,-1.83,2.16,-3.77,0.00
1.157,0.000,0.000,-1.98,2.25,-4.49,0.00
1.174,0.000,0.000,-2.00,2.26,-4.65,0.00
1.221,0.000,0.000,-2.07,2.33,-4.93,0.00
1.253,0.000,0.000,-2.03,2.34,-4.81,0.00
1.296,0.000,0.000,-1.86,2.24,-4.52,0.00
1.348,0.000,0.000,-1.80,2.13,-4.35,0.00
1.379,0.000,0.000,-1.78,2.01,-4.15,0.00
